workoutSummaryId,filterType,date,caloriesSum,distanceSum,durationSum,topSpeed,avgSpeed,overallBestSplit,numberOfWorkouts,avgCalories,avgDistance,avgDuration,movingSpeedAvg
1,daily,2022-04-25,303,16.5,2,24,22,42,2,151.5,8.25,1,1337 
5,daily,2022-04-27,162,10,1,30,29,42,1,162,10,1,1337 
6,daily,2022-04-29,165,10.5,1,32,31,42,1,165,10.5,1,1337 
7,daily,2022-04-30,168,11,1,34,33,42,1,168,11,1,1337 
8,daily,2022-05-01,171,11.5,1,36,35,42,1,171,11.5,1,1337 
9,daily,2022-05-02,174,12,1,38,37,42,1,174,12,1,1337 
3,daily,2022-04-26,156,9,1,26,25,42,1,156,9,1,1337 
10,daily,2022-05-03,177,12.5,1,40,39,42,1,177,12.5,1,1337 
11,daily,2022-05-04,180,13,1,32,31,42,1,180,13,1,1337 
4,daily,2022-04-27,159,9.5,1,28,27,42,1,159,9.5,1,1337 
13,daily,2022-05-06,186,14,1,34,33,42,1,186,14,1,1337 
14,daily,2022-05-07,189,14.5,1,35,34,42,1,189,14.5,1,1337 
16,daily,2022-05-09,195,11,1,25,24,42,1,195,11,1,1337 
17,daily,2022-05-09,198,11.5,1,36,35,42,1,198,11.5,1,1337 
18,daily,2022-05-09,201,12,1,38,37,42,1,201,12,1,1337 
19,daily,2022-05-09,204,12.5,1,40,39,42,1,204,12.5,1,1337 
15,daily,2022-05-08,192,15,1,25,24,42,1,192,15,1,1337 
20,daily,2022-05-13,207,13,1,31,30,42,1,207,13,1,1337 
21,daily,2022-05-14,210,13.5,1,32,31,42,1,210,13.5,1,1337 
23,daily,2022-05-16,420,25,2.5,34,33,42,1,420,25,2.5,1337 
24,daily,2022-05-17,400,23,2.1,35,34,42,1,400,23,2.1,1337 
25,daily,2022-05-18,380,21,2.3,28,27,42,1,380,21,2.3,1337 
26,daily,2022-05-19,460,22,2.2,29,28,42,1,460,22,2.2,1337 
27,daily,2022-05-20,465,23,2,30,29,42,1,465,23,2,1337 
28,daily,2022-05-21,440,30,2,31,30,42,1,440,30,2,1337 
22,daily,2022-05-15,213,14,1,33,32,42,1,213,14,1,1337 
29,daily,2022-05-22,234,15,1,32,31,42,1,234,15,1,1337 
30,daily,2022-05-23,400,32,2,33,32,42,1,400,32,2,1337 
31,daily,2022-05-24,240,10.5,1,34,33,42,1,240,10.5,1,1337 
32,daily,2022-05-25,243,11,1,35,34,42,1,243,11,1,1337 
33,daily,2022-05-26,246,11.5,1,25,24,42,1,246,11.5,1,1337 
34,daily,2022-05-27,249,12,1,25,24,42,1,249,12,1,1337 
35,daily,2022-05-28,160,12.5,1,20,19,42,1,160,12.5,1,1337 
36,daily,2022-05-29,170,13,1,22,21,42,1,170,13,1,1337 
37,daily,2022-05-30,180,13.5,1,24,23,42,1,180,13.5,1,1337 
38,daily,2022-05-31,190,14,1,26,25,42,1,190,14,1,1337 
39,daily,2022-06-01,200,14.5,1,28,27,42,1,200,14.5,1,1337 
40,daily,2022-06-02,210,15,1,30,29,42,1,210,15,1,1337 
41,daily,2022-06-03,220,11,1,32,31,42,1,220,11,1,1337 
42,daily,2022-06-04,230,12.5,1,34,33,42,1,230,12.5,1,1337 
43,daily,2022-06-05,240,13,1,36,35,42,1,240,13,1,1337 
44,daily,2022-06-06,250,13.5,1,38,37,42,1,250,13.5,1,1337 
45,daily,2022-06-07,602,35,2.8,40,39,42,1,602,35,2.8,1337 
46,daily,2022-06-08,270,15,1,31,30,42,1,270,15,1,1337 
47,daily,2022-06-09,280,16,1,32,31,42,1,280,16,1,1337 
48,daily,2022-06-10,660,17,3,33,32,42,1,660,17,3,1337 
49,daily,2022-06-11,300,18,1,34,33,42,1,300,18,1,1337 
50,daily,2022-06-12,650,40,3,35,34,42,1,650,40,3,1337 
1,daily,2022-04-25,150,8,1,22,21,42,1,150,8,1,1337 
2,daily,2022-04-25,153,8.5,1,24,23,42,1,153,8.5,1,1337 
3,daily,2022-04-26,156,9,1,26,25,42,1,156,9,1,1337 
4,daily,2022-04-27,321,19.5,2,30,28,42,2,160.5,9.75,1,1337 
6,daily,2022-04-29,165,10.5,1,32,31,42,1,165,10.5,1,1337 
7,daily,2022-04-30,168,11,1,34,33,42,1,168,11,1,1337 
8,daily,2022-05-01,171,11.5,1,36,35,42,1,171,11.5,1,1337 
9,daily,2022-05-02,174,12,1,38,37,42,1,174,12,1,1337 
10,daily,2022-05-03,177,12.5,1,40,39,42,1,177,12.5,1,1337 
11,daily,2022-05-04,180,13,1,32,31,42,1,180,13,1,1337 
12,daily,2022-05-05,183,13.5,1,33,32,42,1,183,13.5,1,1337 
13,daily,2022-05-06,186,14,1,34,33,42,1,186,14,1,1337 
14,daily,2022-05-07,189,14.5,1,35,34,42,1,189,14.5,1,1337 
15,daily,2022-05-08,192,15,1,25,24,42,1,192,15,1,1337 
16,daily,2022-05-09,195,11,1,25,24,42,1,195,11,1,1337 
17,daily,2022-05-09,198,11.5,1,36,35,42,1,198,11.5,1,1337 
18,daily,2022-05-09,201,12,1,38,37,42,1,201,12,1,1337 
19,daily,2022-05-09,204,12.5,1,40,39,42,1,204,12.5,1,1337 
20,daily,2022-05-13,207,13,1,31,30,42,1,207,13,1,1337 
21,daily,2022-05-14,210,13.5,1,32,31,42,1,210,13.5,1,1337 
22,daily,2022-05-15,213,14,1,33,32,42,1,213,14,1,1337 
23,daily,2022-05-16,420,25,2.5,34,33,42,1,420,25,2.5,1337 
24,daily,2022-05-17,400,23,2.1,35,34,42,1,400,23,2.1,1337 
25,daily,2022-05-18,380,21,2.3,28,27,42,1,380,21,2.3,1337 
26,daily,2022-05-19,460,22,2.2,29,28,42,1,460,22,2.2,1337 
27,daily,2022-05-20,465,23,2,30,29,42,1,465,23,2,1337 
28,daily,2022-05-21,440,30,2,31,30,42,1,440,30,2,1337 
29,daily,2022-05-22,234,15,1,32,31,42,1,234,15,1,1337 
30,daily,2022-05-23,400,32,2,33,32,42,1,400,32,2,1337 
31,daily,2022-05-24,240,10.5,1,34,33,42,1,240,10.5,1,1337 
32,daily,2022-05-25,243,11,1,35,34,42,1,243,11,1,1337 
33,daily,2022-05-26,246,11.5,1,25,24,42,1,246,11.5,1,1337 
34,daily,2022-05-27,249,12,1,25,24,42,1,249,12,1,1337 
35,daily,2022-05-28,160,12.5,1,20,19,42,1,160,12.5,1,1337 
36,daily,2022-05-29,170,13,1,22,21,42,1,170,13,1,1337 
37,daily,2022-05-30,180,13.5,1,24,23,42,1,180,13.5,1,1337 
38,daily,2022-05-31,190,14,1,26,25,42,1,190,14,1,1337 
39,daily,2022-06-01,200,14.5,1,28,27,42,1,200,14.5,1,1337 
40,daily,2022-06-02,210,15,1,30,29,42,1,210,15,1,1337 
